service_id,date,exception_type
210_LI,20250130,1
210_LI,20250131,1
210_SI,20250201,1
210_DFI,20250202,1
210_LI,20250203,1
210_LI,20250204,1
210_LI,20250205,1
210_LI,20250206,1
210_LI,20250207,1
210_SI,20250208,1
210_DFI,20250209,1
210_LI,20250210,1
210_LI,20250211,1
210_LI,20250212,1
210_LI,20250213,1
210_LI,20250214,1
210_SI,20250215,1
210_DFI,20250216,1
021008L_02101_,20250217,1
021008L_02102_,20250217,1
021008L_02103_,20250217,1
021008L_02104_,20250217,1
021008L_02105_,20250217,1
021008L_02106_,20250217,1
021008L_02107_,20250217,1
021008L_02108_,20250217,1
021008L_02109_,20250217,1
021008L_02110_,20250217,1
021008L_02111_,20250217,1
021008L_02112_,20250217,1
021008L_02113_,20250217,1
021008L_02114_,20250217,1
021008L_02115_,20250217,1
022007L_02201_,20250217,1
022007L_02202_,20250217,1
022007L_02203_,20250217,1
022007L_02204_,20250217,1
022007L_02205_,20250217,1
022007L_02206_,20250217,1
022007L_02207_,20250217,1
022007L_02208_,20250217,1
022007L_02209_,20250217,1
022007L_02210_,20250217,1
022007L_02211_,20250217,1
022007L_02212_,20250217,1
022007L_022E1_,20250217,1
023014L_02301_,20250217,1
023014L_02302_,20250217,1
023014L_02303_,20250217,1
023014L_02304_,20250217,1
023014L_02305_,20250217,1
023014L_02306_,20250217,1
023014L_02307_,20250217,1
023014L_02308_,20250217,1
023014L_02309_,20250217,1
023014L_02310_,20250217,1
023014L_02311_,20250217,1
023014L_02312_,20250217,1
023014L_02313_,20250217,1
023014L_02314_,20250217,1
023014L_023E1_,20250217,1
023014L_023E2_,20250217,1
024006L_02401_,20250217,1
024006L_02402_,20250217,1
024006L_02403_,20250217,1
024006L_02404_,20250217,1
024006L_02405_,20250217,1
024006L_02406_,20250217,1
024006L_02407_,20250217,1
024006L_02408_,20250217,1
024006L_02409_,20250217,1
024006L_02410_,20250217,1
024006L_02411_,20250217,1
024006L_02412_,20250217,1
024006L_02413_,20250217,1
024006L_02414_,20250217,1
024006L_02415_,20250217,1
024006L_02416_,20250217,1
024006L_02417_,20250217,1
024006L_02418_,20250217,1
025004L_02501_,20250217,1
025004L_02502_,20250217,1
025004L_02503_,20250217,1
025004L_02504_,20250217,1
025004L_02505_,20250217,1
028002L_02801_,20250217,1
028002L_02802_,20250217,1
028002L_02803_,20250217,1
029005L_02901_,20250217,1
029005L_02902_,20250217,1
029005L_02903_,20250217,1
029005L_02904_,20250217,1
029005L_02905_,20250217,1
029005L_02906_,20250217,1
029005L_02907_,20250217,1
029005L_02908_,20250217,1
030006L_03001_,20250217,1
030006L_03002_,20250217,1
030006L_03003_,20250217,1
030006L_03004_,20250217,1
030006L_03005_,20250217,1
030006L_03006_,20250217,1
031009L_03101_,20250217,1
031009L_03102_,20250217,1
031009L_03103_,20250217,1
031009L_03104_,20250217,1
031009L_03105_,20250217,1
031009L_03106_,20250217,1
031009L_03107_,20250217,1
032008L_03201_,20250217,1
032008L_03202_,20250217,1
032008L_03203_,20250217,1
032008L_03204_,20250217,1
032008L_03205_,20250217,1
032008L_03206_,20250217,1
032008L_03207_,20250217,1
032008L_03208_,20250217,1
032008L_03209_,20250217,1
032008L_03210_,20250217,1
032008L_03211_,20250217,1
032008L_03212_,20250217,1
032008L_03213_,20250217,1
032008L_032E1_,20250217,1
033009L_03301_,20250217,1
033009L_03302_,20250217,1
033009L_03303_,20250217,1
033009L_03304_,20250217,1
033009L_03305_,20250217,1
033009L_03306_,20250217,1
033009L_03307_,20250217,1
033009L_03308_,20250217,1
033009L_03309_,20250217,1
033009L_03310_,20250217,1
033009L_03311_,20250217,1
033009L_03312_,20250217,1
033009L_03313_,20250217,1
033009L_03314_,20250217,1
033009L_03315_,20250217,1
033009L_033E1_,20250217,1
033009L_033E2_,20250217,1
034008L_03401_,20250217,1
034008L_03402_,20250217,1
034008L_03403_,20250217,1
034008L_03404_,20250217,1
034008L_03405_,20250217,1
034008L_03406_,20250217,1
034008L_03407_,20250217,1
034008L_03408_,20250217,1
034008L_03409_,20250217,1
034008L_03410_,20250217,1
034008L_03411_,20250217,1
034008L_03412_,20250217,1
034008L_03413_,20250217,1
034008L_03414_,20250217,1
034008L_034E1_,20250217,1
035010L_03501_,20250217,1
035010L_03502_,20250217,1
035010L_03503_,20250217,1
035010L_03504_,20250217,1
